"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 17:28:49 CST 2022","Mon Mar 07 17:28:52 CST 2022","3722","TestCases","test_nt","TestNt","","","test_click_nt_11",""
"passed","Mon Mar 07 17:21:01 CST 2022","Mon Mar 07 17:21:05 CST 2022","3765","TestCases","test_login","TestLogin","","","test_login_success",""
"passed","Mon Mar 07 17:23:22 CST 2022","Mon Mar 07 17:23:25 CST 2022","3694","TestCases","test_hp_1","TestHp_1","","","test_click_hp_4",""
"passed","Mon Mar 07 17:22:50 CST 2022","Mon Mar 07 17:23:04 CST 2022","14511","TestCases","test_ed","TestEd","","","test_click_ed_1",""
"passed","Mon Mar 07 17:25:14 CST 2022","Mon Mar 07 17:25:44 CST 2022","29719","TestCases","test_hp_4","TestHp_4","","","test_click_hp_1",""
"passed","Mon Mar 07 17:28:31 CST 2022","Mon Mar 07 17:28:35 CST 2022","3715","TestCases","test_nt","TestNt","","","test_click_nt_7",""
"passed","Mon Mar 07 17:22:04 CST 2022","Mon Mar 07 17:22:08 CST 2022","3631","TestCases","test_fp","TestFp","","","test_click_fp_5",""
"passed","Mon Mar 07 17:20:45 CST 2022","Mon Mar 07 17:20:50 CST 2022","4763","TestCases","test_login","TestLogin","","","test_login_fail_invalid_data_user[case2]",""
"passed","Mon Mar 07 17:23:48 CST 2022","Mon Mar 07 17:24:17 CST 2022","29344","TestCases","test_hp_2","TestHp_2","","","test_click_hp_1",""
"passed","Mon Mar 07 17:21:36 CST 2022","Mon Mar 07 17:21:40 CST 2022","4701","TestCases","test_home","TestHome","","","test_click_home_8",""
"passed","Mon Mar 07 17:28:44 CST 2022","Mon Mar 07 17:28:48 CST 2022","3678","TestCases","test_nt","TestNt","","","test_click_nt_10",""
"passed","Mon Mar 07 17:21:09 CST 2022","Mon Mar 07 17:21:13 CST 2022","3682","TestCases","test_home","TestHome","","","test_click_home_2",""
"passed","Mon Mar 07 17:21:13 CST 2022","Mon Mar 07 17:21:17 CST 2022","3717","TestCases","test_home","TestHome","","","test_click_home_3",""
"passed","Mon Mar 07 17:27:46 CST 2022","Mon Mar 07 17:27:50 CST 2022","3730","TestCases","test_cs","TestCs","","","test_click_cs_4",""
